location,scale,p
3.6617817,0.191908,0.0000313
3.637707,0.1809551,0.0000289
3.6746773,0.2133225,0.0000302
3.6167464,0.1947635,0.0000261
3.5612931,0.1637052,0.0000302
3.6058259,0.1526679,0.0000201
3.6208633,0.1798734,0.0000192
3.6049037,0.149928,0.0000193
3.6860845,0.2145859,0.0000499
3.7651219,0.2035777,0.0000375
3.7091519,0.1973687,0.0000221
3.7336746,0.2177688,0.0000349
3.5776716,0.1484843,0.0000163
3.5536435,0.1423868,0.0000192
3.5595473,0.1722349,0.0000159
3.5926251,0.1512385,0.0000167
3.681864,0.2024024,0.0000292
3.4958459,0.114141,0.0000246
4.1994238,0.3541385,0.0002175
3.8666158,0.2609676,0.0000502
3.7886355,0.2558537,0.0000395
3.76523,0.238154,0.0000308
3.65637,0.1609306,0.0000277
3.5781024,0.1540305,0.0000277
3.6660896,0.2135107,0.0000281
4.1529202,0.3513794,0.0001606
3.5874602,0.1385941,0.0000262
3.792429,0.2232106,0.0000433
3.6073103,0.1687739,0.0000323
3.5404976,0.1191337,0.0000263
3.6158856,0.2044142,0.0000322
3.6057804,0.1569887,0.0000219
3.6468249,0.1783865,0.000022
3.7225668,0.2419471,0.0000358
3.6320321,0.1645467,0.0000225
3.6198912,0.1907776,0.0000318
3.5333286,0.1236487,0.0000144
3.7411473,0.2408556,0.0000419
3.6424017,0.1984238,0.0000301
3.5762648,0.1497097,0.0000313
3.8153627,0.2401492,0.0000678
4.4231828,0.4123674,0.0003155
3.6365681,0.1880084,0.0000249
3.5645338,0.1351584,0.0000195
3.5802836,0.1302201,0.0000308
3.7766706,0.2219603,0.0000712
4.4536421,0.396472,0.0004708
3.6582016,0.1838749,0.0000367
3.6475651,0.1843013,0.0000162
3.834849,0.2683011,0.0000361
3.5569802,0.1330202,0.0000182
3.5258805,0.1428184,0.0000195
3.6158876,0.1570315,0.0000393
3.7445932,0.2236515,0.0000393
3.5557088,0.1357826,0.0000263
3.6742184,0.1941963,0.0000381
3.5833566,0.1658362,0.0000301
3.6582143,0.1752323,0.0000427
3.5933994,0.1801653,0.0000255
3.6812606,0.1341482,0.0000206
3.6499305,0.1575361,0.0000285
3.5992799,0.1473858,0.0000284
3.6397157,0.1622674,0.000032
3.7866487,0.2451245,0.0000325
3.7493654,0.2306078,0.0000465
3.6117982,0.1797446,0.0000262
3.5245785,0.133344,0.0000282
3.7046129,0.1883549,0.0000578
3.7460189,0.2465971,0.0000302
3.5568556,0.1370003,0.0000237
3.5751512,0.1265376,0.0000189
3.7668309,0.2305687,0.0000693
3.556302,0.1366607,0.0000166
3.6721617,0.187832,0.0000297
3.6185942,0.159554,0.0000239
3.536834,0.1531884,0.0000166
3.7966212,0.2428188,0.0000547
3.7601388,0.2486736,0.0000367
3.6791252,0.1502067,0.0000252
3.8043001,0.2468123,0.0000777
3.567654,0.146461,0.0000254
3.7808992,0.205388,0.0000522
3.6002677,0.1643168,0.0000269
3.8274399,0.2683049,0.0000425
3.7876655,0.2529983,0.0000532
3.6133145,0.1662709,0.0000267
3.6967175,0.2032815,0.0000528
3.6472599,0.1735174,0.0000307
3.6508855,0.2033719,0.0000365
3.6391046,0.1687115,0.0000435
3.9560116,0.2959298,0.0000766
3.59906,0.1175141,0.0000218
3.5947798,0.153203,0.0000276
3.6780158,0.202928,0.0000326
3.6870528,0.1812001,0.0000364
5.5347585,0.6127366,0.0109572
3.6546542,0.1912514,0.0000353
3.5640662,0.114502,0.0000238
3.6118273,0.1321024,0.0000372
3.6522138,0.1801078,0.0000454
3.8496386,0.2594303,0.0000684
3.6468568,0.1652327,0.0000324
3.6001462,0.1663876,0.0000257
3.5827174,0.1326006,0.0000255
3.6006085,0.1680716,0.0000414
3.5745031,0.1581398,0.0000265
3.5201199,0.1295083,0.0000222
3.7492976,0.2304596,0.0000468
3.5574161,0.1288963,0.0000135
3.8041393,0.2255027,0.0000433
3.7187755,0.2191969,0.0000345
3.6566688,0.1535738,0.0000243
3.6981663,0.2008939,0.0000366
3.6205008,0.1794672,0.0000288
3.9084285,0.2869269,0.0000556
3.5901492,0.1796686,0.0000201
3.6956217,0.1943794,0.0000282
4.1861918,0.3224363,0.0002411
3.8024791,0.2569823,0.0000544
3.6845318,0.1870764,0.0000297
3.8722541,0.2765524,0.0000713
3.736813,0.1761539,0.0000346
3.5996829,0.1553975,0.0000256
3.5742568,0.1408636,0.0000249
5.6075142,0.6055215,0.0121174
3.615161,0.1680571,0.0000181
3.6664322,0.187975,0.0000377
3.6177261,0.1406543,0.0000237
3.6844122,0.2153302,0.0000354
3.6300501,0.1877912,0.0000391
6.8581963,0.7336148,1
3.6190151,0.1722892,0.0000336
3.5573899,0.1285025,0.0000199
4.0908842,0.3624793,0.0001184
3.6752246,0.1771183,0.0000299
3.6050087,0.1538435,0.0000264
3.5619753,0.1285995,0.000033
3.5343019,0.1546585,0.0000235
3.5292881,0.1358553,0.0000136
3.5542018,0.119452,0.0000274
3.7150174,0.2043592,0.0000425
3.7568003,0.2377516,0.000054
3.6778404,0.2023869,0.0000154
3.5885172,0.1504658,0.0000236
3.569101,0.1394598,0.0000213
4.7677716,0.4505046,0.0012957
3.5652567,0.1519148,0.0000191
3.637763,0.1671862,0.0000272
3.581609,0.1307607,0.0000204
3.502567,0.1164761,0.0000191
3.6781554,0.1751988,0.0000331
3.6786687,0.2371023,0.0000318
3.7375808,0.235037,0.0000299
3.6313169,0.1785111,0.0000248
3.6670841,0.2019228,0.0000337
3.7439309,0.2271277,0.0000456
3.8384237,0.2628659,0.0000655
3.5927185,0.1539807,0.0000352
3.6459197,0.1793406,0.0000269
3.6164866,0.1455081,0.0000333
3.5361318,0.1126272,0.0000296
3.597204,0.1577391,0.0000268
3.6545254,0.1932783,0.0000381
3.6464188,0.1857784,0.0000312
3.9663139,0.3086441,0.0001075
3.6871972,0.1859067,0.0000217
3.6223499,0.1506209,0.0000318
3.6042462,0.1685911,0.0000262
3.6125875,0.1634911,0.0000378
3.9596287,0.3174766,0.000056
3.831669,0.2434716,0.0000859
3.6225086,0.1606919,0.0000228
3.7727787,0.2301392,0.0000404
3.5188666,0.1328663,0.000022
3.5613788,0.1421573,0.0000285
3.6339716,0.2041532,0.0000212
3.5932048,0.1558054,0.0000311
3.6622352,0.18468,0.0000417
3.5886804,0.1826442,0.0000194
3.5700393,0.1089951,0.0000155
3.6718594,0.1956201,0.0000354
3.6206524,0.1560889,0.0000268
3.6449244,0.2010987,0.000031
5.9841817,0.6461644,0.0722108
3.5745306,0.1576891,0.0000281
3.5791939,0.1381966,0.00003
3.50648,0.1154687,0.0000142
3.616288,0.1432002,0.0000245
3.6620973,0.1810681,0.000043
3.6190104,0.1642401,0.0000351
3.8392064,0.237466,0.0000446
3.7197616,0.2012592,0.0000335
3.747477,0.238492,0.0000229
3.5385971,0.1174821,0.0000176
3.5683764,0.1114728,0.0000252
3.5613384,0.1378539,0.0000196
3.5620898,0.1360396,0.0000185
3.8278054,0.2668393,0.0000501
3.5888028,0.1661795,0.0000242
3.5667538,0.1585654,0.0000147
3.5679588,0.1896836,0.0000222
3.5690318,0.162115,0.000019
3.7069326,0.2130855,0.0000491
4.0025386,0.3157852,0.0000837
3.5633025,0.1364547,0.0000304
3.6166711,0.1909321,0.0000311
3.5237812,0.1152014,0.0000211
3.6228917,0.1976764,0.0000145
3.6381641,0.1759903,0.0000315
3.7753269,0.2295371,0.0000543
3.5254871,0.1059715,0.0000193
3.5930302,0.1406309,0.0000241
6.5022529,0.6669264,1
3.6332054,0.1490359,0.0000289
3.6000088,0.1733037,0.0000232
3.7565336,0.2199476,0.0000374
3.716514,0.2067053,0.0000279
3.683059,0.1961622,0.0000394
3.5937436,0.167571,0.0000264
3.5758292,0.1563102,0.0000333
3.7531914,0.211712,0.0000365
3.8921771,0.2728386,0.0000824
3.6260144,0.1821661,0.0000332
3.8729245,0.2839495,0.0000546
3.5880518,0.1595035,0.0000209
3.6312815,0.1744868,0.0000386
3.5524721,0.0986551,0.000023
3.5939581,0.1553769,0.0000261
3.9594137,0.2546061,0.0001206
3.6492122,0.1862367,0.0000257
3.6408253,0.1788472,0.0000337
3.531622,0.1033067,0.0000225
4.183343,0.3478621,0.0001298
3.6540234,0.1936333,0.0000289
3.7380218,0.2232148,0.0000351
3.6546104,0.1574497,0.0000202
4.0705596,0.3545218,0.0000825
3.8171628,0.267785,0.0000386
3.5982609,0.1384617,0.0000222
3.5637772,0.1188325,0.0000308
3.6639777,0.1846556,0.000035
3.5290555,0.132994,0.0000268
3.9416941,0.3047048,0.0000745
3.7895022,0.2293541,0.0000448
