location,scale,p
4.5379493,0.2576411,1
3.7676358,0.1386428,0.0011582
4.4157198,0.2295768,1
4.3456891,0.2058373,1
3.8168623,0.1645073,0.0007489
4.5428079,0.2555433,1
4.3859905,0.218507,1
4.2400305,0.178256,1
4.3287593,0.2029349,1
4.6446715,0.2838519,1
4.4688657,0.2357691,1
4.6194296,0.2773283,1
4.419095,0.2230704,1
4.4082531,0.2567933,0.1794059
4.5338668,0.2545623,1
4.1700402,0.1595508,1
3.5537435,0.0991617,0.0001038
4.343149,0.2066265,1
4.541963,0.2588295,1
3.5496796,0.093897,0.0001115
4.6314586,0.277484,1
4.6628594,0.2802086,1
4.5125867,0.2593614,1
4.5424723,0.2705541,0.3071999
4.6307184,0.2843318,1
4.3682528,0.2142954,1
4.076073,0.1363662,1
4.591021,0.263141,1
4.4527662,0.2427902,1
4.086096,0.2005086,0.0176758
4.6252769,0.2835464,1
4.414129,0.2250244,1
4.5412703,0.2648383,1
4.3766932,0.2203075,1
4.2753695,0.2423227,0.0376852
4.4261199,0.2228337,1
3.7341905,0.1530055,0.0005848
3.820092,0.1665134,0.0007828
3.8094752,0.1675288,0.0006391
4.5570583,0.2633472,1
3.6861402,0.1417276,0.0004127
4.3834788,0.2219107,1
4.382482,0.221197,1
4.1719771,0.162534,1
3.9017913,0.1783728,0.0026762
4.4949794,0.2476568,1
4.449281,0.2344653,1
4.3609114,0.2139734,1
4.711412,0.3014096,1
4.4301352,0.231835,1
4.2518522,0.1865899,1
4.4075228,0.2235624,1
3.8762128,0.1616927,0.0018632
4.5823132,0.2689055,1
3.6004826,0.1158741,0.0003653
4.6590949,0.2820892,1
4.5423312,0.2611564,1
4.5222515,0.2555974,1
4.4172895,0.2224458,1
3.6878455,0.1271227,0.0004676
4.2457314,0.1788322,1
4.475413,0.2438887,1
3.6706119,0.136197,0.0003489
4.614998,0.2770034,1
4.5325798,0.2608334,0.707295
4.3022593,0.2425033,0.0840839
3.6606043,0.1271588,0.0002705
4.3859323,0.2195719,1
4.6132205,0.2715766,1
3.4820292,0.0712927,0.0001035
4.6379838,0.2744491,1
3.7660102,0.1534845,0.0008551
3.6751865,0.1273235,0.0003806
