"mu","sigma"
9.27704734706183,0.454107888247778
9.41212672802424,0.456665273481598
8.84595103668446,0.41226863700311
9.19654858794693,0.454455775955069
9.58382642234857,0.496898092384754
8.89041602503174,0.389531064880864
8.98536630070325,0.403257305746775
9.18720247952808,0.418402701097918
9.94467351202792,0.551794117112729
9.69920360700691,0.471675279407775
9.40941049259241,0.415987646368902
9.11262358438238,0.411527208600178
9.33492397951691,0.542993718142444
9.78805232081256,0.58561658421301
9.82685354680305,0.557115718482481
9.46466479219725,0.504760654718081
9.849344745744,0.603335686128915
8.69142077977964,0.375987621076443
9.49024558607388,0.468172676437298
10.0989880011553,0.581456781128101
8.95740276529075,0.408546204798724
9.34655371826877,0.473842591247695
9.63995383559424,0.572674811579436
9.0595642586799,0.471052164213912
9.79278798874324,0.531469604030067
9.2035320734133,0.524205288438415
9.28602969235008,0.427139234932394
9.31559077407817,0.402730085248181
9.00877341542294,0.395405845417428
9.20415028252167,0.423442186928245
9.07398243100647,0.488100977244809
9.294069525615,0.422122448101284
10.0184152995772,0.56521104814036
9.35476401508894,0.515651699810039
9.30856515026856,0.432291505790511
9.35227900703991,0.484003842978828
9.5901443919656,0.512000356439286
9.77710487411035,0.468426523758964
10.024632895262,0.564590255833998
9.62657717618186,0.553360799422648
9.76144984789581,0.605704890440034
9.20474872071636,0.446416817815865
9.43952865835669,0.451600521336799
10.2410361383317,0.495991201596406
9.09031265758753,0.400394448781318
9.65883298843895,0.492967149152431
8.80774448693835,0.390414986244004
9.04838407815758,0.407066800722625
9.43622471097682,0.505730808178184
9.71940438797986,0.528016184425454
9.15433099978897,0.502633325105402
9.5851141255614,0.46115487115603
9.55656350805583,0.482842809047126
8.51818102252746,0.39765588393532
10.3688109479326,0.644667649419566
9.06191565265846,0.422062550393834
9.61623260973228,0.507660009292429
9.71967218298258,0.581227046219656
10.5671654716807,0.65209399624517
9.20781829968512,0.451055212651641
9.00073873383166,0.426690017143713
9.52112149542847,0.451000610419311
9.43488021864559,0.553665920727655
9.55803895473508,0.592535509293956
9.07410494675119,0.434370421111024
9.80650383156645,0.522605750255716
9.23571326716473,0.474963194870358
9.440152927509,0.541037191048033
9.81732243399578,0.552045177340976
9.47946146761494,0.47500614221369
10.1540923865626,0.658000185302127
9.43953558474513,0.581246403898873
8.68812687510876,0.371664059963022
10.532311465702,0.634698233254211
9.76363839091486,0.529231747022116
9.31237016910531,0.528665874943159
9.81511831171494,0.595666024243965
10.087831787323,0.62751233399283
8.97266273541401,0.426359865570603
9.8806665833918,0.51749264225692
9.14938140208099,0.49716092198217
9.34213253269492,0.481327648239878
10.0333380136815,0.582931416981213
8.89597519957606,0.426339357062511
10.242186986432,0.502126473128514
9.88396449298602,0.575191351513068
10.0798017117347,0.6267744695916
9.54223471924178,0.499621460386291
10.1999025623139,0.571721285691332
8.90632707997027,0.391145636507013
10.1025490889496,0.634286505729177
9.56750218781499,0.524756444897761
9.52988141628044,0.505179678121226
9.53647218518545,0.516086861112465
9.39491059329334,0.529776637413233
9.97769446261483,0.517529948951514
9.55961212878723,0.566641422504502
9.76588218841739,0.528970168969009
10.1528715358858,0.572812835227239
9.11535307915858,0.448361446986154
9.27007809391348,0.533672172584059
9.16280403344891,0.416520830021396
9.35998415794772,0.46975942045956
9.27525789119881,0.447603585156361
9.09786642832455,0.351733440683818
9.9218748033651,0.617599081539283
10.0431477821479,0.635742224755016
